"size_code","width_mm","aspect_ratio_pct","rim_in","unloaded_diameter_mm","unloaded_radius_mm","unloaded_circumference_mm","dynamic_factor","expected_rolling_radius_mm","expected_effective_circumference_mm","source","notes"
"125/80R16","125","80","16","606.4","303.2","1905.062","0.97","294.104","1847.91","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/65R12","135","65","12","480.3","240.15","1508.907","0.97","232.946","1463.64","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/65R13","135","65","13","505.7","252.85","1588.703","0.97","245.265","1541.042","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/65R14","135","65","14","531.1","265.55","1668.5","0.97","257.584","1618.445","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/65R15","135","65","15","556.5","278.25","1748.296","0.97","269.903","1695.847","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/65R16","135","65","16","581.9","290.95","1828.093","0.97","282.222","1773.25","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/65R17","135","65","17","607.3","303.65","1907.889","0.97","294.541","1850.653","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/70R10","135","70","10","443","221.5","1391.726","0.97","214.855","1349.974","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/70R12","135","70","12","493.8","246.9","1551.318","0.97","239.493","1504.779","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/70R13","135","70","13","519.2","259.6","1631.115","0.97","251.812","1582.181","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/70R14","135","70","14","544.6","272.3","1710.911","0.97","264.131","1659.584","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/70R15","135","70","15","570","285","1790.708","0.97","276.45","1736.987","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/70R16","135","70","16","595.4","297.7","1870.504","0.97","288.769","1814.389","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/75R10","135","75","10","456.5","228.25","1434.137","0.97","221.403","1391.113","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/75R12","135","75","12","507.3","253.65","1593.73","0.97","246.041","1545.918","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/75R13","135","75","13","532.7","266.35","1673.526","0.97","258.36","1623.321","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/75R14","135","75","14","558.1","279.05","1753.323","0.97","270.679","1700.723","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/75R15","135","75","15","583.5","291.75","1833.119","0.97","282.998","1778.126","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/75R16","135","75","16","608.9","304.45","1912.916","0.97","295.317","1855.528","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/80R10","135","80","10","470","235","1476.549","0.97","227.95","1432.252","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/80R12","135","80","12","520.8","260.4","1636.141","0.97","252.588","1587.057","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/80R13","135","80","13","546.2","273.1","1715.938","0.97","264.907","1664.46","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/80R14","135","80","14","571.6","285.8","1795.734","0.97","277.226","1741.862","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/80R15","135","80","15","597","298.5","1875.531","0.97","289.545","1819.265","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"135/80R16","135","80","16","622.4","311.2","1955.327","0.97","301.864","1896.667","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/65R12","145","65","12","493.3","246.65","1549.748","0.97","239.251","1503.255","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/65R13","145","65","13","518.7","259.35","1629.544","0.97","251.57","1580.658","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/65R14","145","65","14","544.1","272.05","1709.341","0.97","263.889","1658.06","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/65R15","145","65","15","569.5","284.75","1789.137","0.97","276.208","1735.463","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/65R16","145","65","16","594.9","297.45","1868.933","0.97","288.527","1812.865","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/65R17","145","65","17","620.3","310.15","1948.73","0.97","300.846","1890.268","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/70R10","145","70","10","457","228.5","1435.708","0.97","221.645","1392.637","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/70R12","145","70","12","507.8","253.9","1595.301","0.97","246.283","1547.442","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/70R13","145","70","13","533.2","266.6","1675.097","0.97","258.602","1624.844","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/70R14","145","70","14","558.6","279.3","1754.894","0.97","270.921","1702.247","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/70R15","145","70","15","584","292","1834.69","0.97","283.24","1779.649","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/70R16","145","70","16","609.4","304.7","1914.487","0.97","295.559","1857.052","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/75R10","145","75","10","471.5","235.75","1481.261","0.97","228.678","1436.823","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/75R12","145","75","12","522.3","261.15","1640.854","0.97","253.316","1591.628","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/75R13","145","75","13","547.7","273.85","1720.65","0.97","265.635","1669.031","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/75R14","145","75","14","573.1","286.55","1800.447","0.97","277.954","1746.433","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/75R15","145","75","15","598.5","299.25","1880.243","0.97","290.273","1823.836","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/75R16","145","75","16","623.9","311.95","1960.04","0.97","302.592","1901.238","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/80R10","145","80","10","486","243","1526.814","0.97","235.71","1481.01","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/80R12","145","80","12","536.8","268.4","1686.407","0.97","260.348","1635.815","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/80R13","145","80","13","562.2","281.1","1766.203","0.97","272.667","1713.217","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/80R14","145","80","14","587.6","293.8","1846","0.97","284.986","1790.62","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/80R15","145","80","15","613","306.5","1925.796","0.97","297.305","1868.022","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"145/80R16","145","80","16","638.4","319.2","2005.593","0.97","309.624","1945.425","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/60R12","155","60","12","490.8","245.4","1541.894","0.97","238.038","1495.637","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/60R13","155","60","13","516.2","258.1","1621.69","0.97","250.357","1573.039","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/60R14","155","60","14","541.6","270.8","1701.487","0.97","262.676","1650.442","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/60R15","155","60","15","567","283.5","1781.283","0.97","274.995","1727.845","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/60R16","155","60","16","592.4","296.2","1861.079","0.97","287.314","1805.247","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/60R17","155","60","17","617.8","308.9","1940.876","0.97","299.633","1882.65","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/65R12","155","65","12","506.3","253.15","1590.588","0.97","245.556","1542.871","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/65R13","155","65","13","531.7","265.85","1670.385","0.97","257.875","1620.273","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/65R14","155","65","14","557.1","278.55","1750.181","0.97","270.194","1697.676","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/65R15","155","65","15","582.5","291.25","1829.978","0.97","282.513","1775.078","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/65R16","155","65","16","607.9","303.95","1909.774","0.97","294.832","1852.481","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/65R17","155","65","17","633.3","316.65","1989.571","0.97","307.151","1929.884","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/70R10","155","70","10","471","235.5","1479.69","0.97","228.435","1435.299","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/70R12","155","70","12","521.8","260.9","1639.283","0.97","253.073","1590.105","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/70R13","155","70","13","547.2","273.6","1719.08","0.97","265.392","1667.507","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/70R14","155","70","14","572.6","286.3","1798.876","0.97","277.711","1744.91","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/70R15","155","70","15","598","299","1878.672","0.97","290.03","1822.312","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/70R16","155","70","16","623.4","311.7","1958.469","0.97","302.349","1899.715","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/75R10","155","75","10","486.5","243.25","1528.385","0.97","235.953","1482.533","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/75R12","155","75","12","537.3","268.65","1687.978","0.97","260.591","1637.338","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/75R13","155","75","13","562.7","281.35","1767.774","0.97","272.91","1714.741","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/75R14","155","75","14","588.1","294.05","1847.571","0.97","285.229","1792.144","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/75R15","155","75","15","613.5","306.75","1927.367","0.97","297.548","1869.546","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/75R16","155","75","16","638.9","319.45","2007.164","0.97","309.867","1946.949","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/80R10","155","80","10","502","251","1577.08","0.97","243.47","1529.767","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/80R12","155","80","12","552.8","276.4","1736.672","0.97","268.108","1684.572","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/80R13","155","80","13","578.2","289.1","1816.469","0.97","280.427","1761.975","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/80R14","155","80","14","603.6","301.8","1896.265","0.97","292.746","1839.377","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/80R15","155","80","15","629","314.5","1976.062","0.97","305.065","1916.78","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"155/80R16","155","80","16","654.4","327.2","2055.858","0.97","317.384","1994.182","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/55R14","165","55","14","537.1","268.55","1687.349","0.97","260.494","1636.729","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/55R15","165","55","15","562.5","281.25","1767.146","0.97","272.813","1714.131","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/55R16","165","55","16","587.9","293.95","1846.942","0.97","285.132","1791.534","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/55R17","165","55","17","613.3","306.65","1926.739","0.97","297.451","1868.937","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/55R18","165","55","18","638.7","319.35","2006.535","0.97","309.77","1946.339","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/55R19","165","55","19","664.1","332.05","2086.332","0.97","322.089","2023.742","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/60R12","165","60","12","502.8","251.4","1579.593","0.97","243.858","1532.205","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/60R13","165","60","13","528.2","264.1","1659.389","0.97","256.177","1609.608","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/60R14","165","60","14","553.6","276.8","1739.186","0.97","268.496","1687.01","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/60R15","165","60","15","579","289.5","1818.982","0.97","280.815","1764.413","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/60R16","165","60","16","604.4","302.2","1898.779","0.97","293.134","1841.815","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/60R17","165","60","17","629.8","314.9","1978.575","0.97","305.453","1919.218","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/65R12","165","65","12","519.3","259.65","1631.429","0.97","251.861","1582.486","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/65R13","165","65","13","544.7","272.35","1711.226","0.97","264.18","1659.889","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/65R14","165","65","14","570.1","285.05","1791.022","0.97","276.499","1737.291","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/65R15","165","65","15","595.5","297.75","1870.818","0.97","288.818","1814.694","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/65R16","165","65","16","620.9","310.45","1950.615","0.97","301.137","1892.096","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/65R17","165","65","17","646.3","323.15","2030.411","0.97","313.456","1969.499","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/70R10","165","70","10","485","242.5","1523.672","0.97","235.225","1477.962","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/70R12","165","70","12","535.8","267.9","1683.265","0.97","259.863","1632.767","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/70R13","165","70","13","561.2","280.6","1763.062","0.97","272.182","1710.17","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/70R14","165","70","14","586.6","293.3","1842.858","0.97","284.501","1787.573","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/70R15","165","70","15","612","306","1922.655","0.97","296.82","1864.975","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/70R16","165","70","16","637.4","318.7","2002.451","0.97","309.139","1942.378","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/75R10","165","75","10","501.5","250.75","1575.509","0.97","243.228","1528.243","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/75R12","165","75","12","552.3","276.15","1735.102","0.97","267.866","1683.049","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/75R13","165","75","13","577.7","288.85","1814.898","0.97","280.185","1760.451","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/75R14","165","75","14","603.1","301.55","1894.695","0.97","292.504","1837.854","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/75R15","165","75","15","628.5","314.25","1974.491","0.97","304.823","1915.256","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/75R16","165","75","16","653.9","326.95","2054.287","0.97","317.142","1992.659","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/80R10","165","80","10","518","259","1627.345","0.97","251.23","1578.525","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/80R12","165","80","12","568.8","284.4","1786.938","0.97","275.868","1733.33","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/80R13","165","80","13","594.2","297.1","1866.734","0.97","288.187","1810.732","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/80R14","165","80","14","619.6","309.8","1946.531","0.97","300.506","1888.135","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/80R15","165","80","15","645","322.5","2026.327","0.97","312.825","1965.537","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"165/80R16","165","80","16","670.4","335.2","2106.124","0.97","325.144","2042.94","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/50R13","175","50","13","505.2","252.6","1587.133","0.97","245.022","1539.519","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/50R14","175","50","14","530.6","265.3","1666.929","0.97","257.341","1616.921","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/50R15","175","50","15","556","278","1746.726","0.97","269.66","1694.324","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/50R16","175","50","16","581.4","290.7","1826.522","0.97","281.979","1771.726","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/50R17","175","50","17","606.8","303.4","1906.318","0.97","294.298","1849.129","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/50R18","175","50","18","632.2","316.1","1986.115","0.97","306.617","1926.531","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/55R14","175","55","14","548.1","274.05","1721.907","0.97","265.829","1670.25","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/55R15","175","55","15","573.5","286.75","1801.703","0.97","278.148","1747.652","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/55R16","175","55","16","598.9","299.45","1881.5","0.97","290.467","1825.055","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/55R17","175","55","17","624.3","312.15","1961.296","0.97","302.786","1902.457","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/55R18","175","55","18","649.7","324.85","2041.093","0.97","315.105","1979.86","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/55R19","175","55","19","675.1","337.55","2120.889","0.97","327.424","2057.263","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/60R12","175","60","12","514.8","257.4","1617.292","0.97","249.678","1568.773","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/60R13","175","60","13","540.2","270.1","1697.088","0.97","261.997","1646.176","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/60R14","175","60","14","565.6","282.8","1776.885","0.97","274.316","1723.578","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/60R15","175","60","15","591","295.5","1856.681","0.97","286.635","1800.981","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/60R16","175","60","16","616.4","308.2","1936.478","0.97","298.954","1878.383","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/60R17","175","60","17","641.8","320.9","2016.274","0.97","311.273","1955.786","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/65R12","175","65","12","532.3","266.15","1672.27","0.97","258.166","1622.102","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/65R13","175","65","13","557.7","278.85","1752.066","0.97","270.485","1699.504","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/65R14","175","65","14","583.1","291.55","1831.863","0.97","282.804","1776.907","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/65R15","175","65","15","608.5","304.25","1911.659","0.97","295.123","1854.309","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/65R16","175","65","16","633.9","316.95","1991.456","0.97","307.442","1931.712","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/65R17","175","65","17","659.3","329.65","2071.252","0.97","319.761","2009.114","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/70R10","175","70","10","499","249.5","1567.655","0.97","242.015","1520.625","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/70R12","175","70","12","549.8","274.9","1727.248","0.97","266.653","1675.43","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/70R13","175","70","13","575.2","287.6","1807.044","0.97","278.972","1752.833","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/70R14","175","70","14","600.6","300.3","1886.841","0.97","291.291","1830.235","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/70R15","175","70","15","626","313","1966.637","0.97","303.61","1907.638","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/70R16","175","70","16","651.4","325.7","2046.433","0.97","315.929","1985.04","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/75R10","175","75","10","516.5","258.25","1622.633","0.97","250.503","1573.954","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/75R12","175","75","12","567.3","283.65","1782.226","0.97","275.141","1728.759","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/75R13","175","75","13","592.7","296.35","1862.022","0.97","287.46","1806.161","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/75R14","175","75","14","618.1","309.05","1941.818","0.97","299.779","1883.564","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/75R15","175","75","15","643.5","321.75","2021.615","0.97","312.098","1960.966","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/75R16","175","75","16","668.9","334.45","2101.411","0.97","324.417","2038.369","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/80R10","175","80","10","534","267","1677.61","0.97","258.99","1627.282","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/80R12","175","80","12","584.8","292.4","1837.203","0.97","283.628","1782.087","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/80R13","175","80","13","610.2","305.1","1917","0.97","295.947","1859.49","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/80R14","175","80","14","635.6","317.8","1996.796","0.97","308.266","1936.892","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/80R15","175","80","15","661","330.5","2076.593","0.97","320.585","2014.295","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"175/80R16","175","80","16","686.4","343.2","2156.389","0.97","332.904","2091.698","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"185/50R13","185","50","13","515.2","257.6","1618.549","0.97","249.872","1569.992","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"185/50R14","185","50","14","540.6","270.3","1698.345","0.97","262.191","1647.395","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"185/50R15","185","50","15","566","283","1778.141","0.97","274.51","1724.797","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"185/50R16","185","50","16","591.4","295.7","1857.938","0.97","286.829","1802.2","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"185/50R17","185","50","17","616.8","308.4","1937.734","0.97","299.148","1879.602","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"185/50R18","185","50","18","642.2","321.1","2017.531","0.97","311.467","1957.005","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"185/55R14","185","55","14","559.1","279.55","1756.464","0.97","271.164","1703.771","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
